satellite_id,timestamp,orbit_error_m,clock_error_ns,radial_error_m,ephemeris_age_hours
G25,2025-07-06 00:30:00,46969850.18897799,-2121081.9500884702,-41949659.69138652,0.5
G26,2025-07-06 00:30:00,17783871.311128,4894874.710261898,-6026899.105183691,0.5
G27,2025-07-06 00:30:00,19137149.364172943,489509.477291193,-6855105.201782468,0.5
G28,2025-07-06 00:30:00,48391933.4013883,-4242218.34755747,-44088063.003113955,0.5
G29,2025-07-06 00:30:00,27105253.970061474,6852817.505373989,-13957203.57963332,0.5
G30,2025-07-06 00:30:00,25556631.404819764,14684594.273827977,-12086762.880521346,0.5
G31,2025-07-06 00:30:00,46048347.94896432,1957939.5193353388,-39829852.79604998,0.5
G32,2025-07-06 00:30:00,50281572.899375685,16805692.72918279,-47506548.43887524,0.5
G01,2025-07-06 00:45:00,38120057.96960686,12563491.978591116,-27360624.335462406,0.75
G02,2025-07-06 00:45:00,28238069.64915989,12889829.718610594,-15526487.791605717,0.75
G03,2025-07-06 00:45:00,26133442.732515495,,-12944272.595106693,0.75
G04,2025-07-06 00:45:00,39828352.801762216,6037004.835852592,-29766004.787163652,0.75
G05,2025-07-06 00:45:00,23570391.168599546,-1304736.0138932231,-10542755.108916884,0.7544444444444445
G06,2025-07-06 00:45:00,44773011.27092888,-23005884.928042904,-37793918.844203845,0.75
G07,2025-07-06 00:45:00,37939885.272955,-6200208.64477078,-26672839.65530811,0.75
G08,2025-07-06 00:45:00,15195866.047430424,2121130.1548674693,-4767979.7032306045,0.75
G09,2025-07-06 00:45:00,34835078.00571968,11584514.51684093,-22883892.18994162,0.75
G10,2025-07-06 00:45:00,41944480.520227425,-14678397.778398493,-33107167.053207226,0.7544444444444445
G11,2025-07-06 00:45:00,11476681.214232247,12726660.193611516,-2544725.777683565,0.75
G12,2025-07-06 00:45:00,46544227.00741286,-1957925.9302566044,-40873474.6820633,0.75
G13,2025-07-06 00:45:00,46481719.69286924,-163164.85780099564,-40788569.654658005,0.75
G14,2025-07-06 00:45:00,51720267.89487816,6852828.133122761,-50604983.86097275,0.75
G15,2025-07-06 00:45:00,28613366.18745554,5708240.596302943,-15148005.40149035,0.7544444444444445
G16,2025-07-06 00:45:00,44669472.59687054,11910857.874555308,-37166949.059035115,0.75
G17,2025-07-06 00:45:00,45242870.54702948,-23811679.80011231,-38451591.3195487,0.7544444444444445
G18,2025-07-06 00:45:00,34492128.069483675,9300255.108998157,-22262210.40024283,0.75
G19,2025-07-06 00:45:00,21399725.474187944,4566629.352741351,-8729584.939274428,0.7544444444444445
G20,2025-07-06 00:45:00,37006468.5369295,-163160.53054745446,-25693788.303234566,0.75
G21,2025-07-06 00:45:00,37459726.31076301,45685434.02911465,-26415073.68402341,0.75
G22,2025-07-06 00:45:00,39547633.6605745,1305320.304890353,-29152558.052523255,0.75
G23,2025-07-06 00:45:00,51241957.84715129,8973929.570996715,-49599315.086536884,0.75
G24,2025-07-06 00:45:00,51084789.06606374,13216132.520287571,-48853219.154573664,0.75
G25,2025-07-06 00:45:00,45851755.878523394,-2121082.8985574353,-40001636.449824125,0.75
G26,2025-07-06 00:45:00,15080704.24102283,4894871.691175372,-4295151.861006308,0.75
G27,2025-07-06 00:45:00,17283165.047188647,489512.2189337033,-5613404.166117659,0.75
G28,2025-07-06 00:45:00,48463968.184632145,-4242218.332267852,-44219972.28632514,0.75
G29,2025-07-06 00:45:00,24732577.641541284,6852816.242308694,-11649367.148625884,0.75
G30,2025-07-06 00:45:00,28607739.507326756,14684592.334093465,-15203347.054532915,0.75
G31,2025-07-06 00:45:00,47093366.46113524,1957942.298411126,-41710280.50780652,0.75
G32,2025-07-06 00:45:00,48530735.84314832,16805692.3214143,-44251357.124752045,0.75
G01,2025-07-06 01:00:00,40202782.93071429,12563491.91001991,-30428025.84305296,1.0
G02,2025-07-06 01:00:00,25078188.710780937,12889824.498322304,-12385709.578810103,1.0
G03,2025-07-06 01:00:00,24731849.911359094,,-11598640.575311787,1.0
G04,2025-07-06 01:00:00,38990645.4417067,6037005.820208924,-28530472.20180695,1.0
G05,2025-07-06 01:00:00,33448229.83570869,-1305294.411476806,-21183497.67553839,0.9955555555555555
G06,2025-07-06 01:00:00,38679773.70809161,-23005883.708948158,-28196119.197864376,0.9955555555555555
G07,2025-07-06 01:00:00,38271256.09987872,-6200209.857062922,-27113982.625939075,0.9955555555555555
G08,2025-07-06 01:00:00,18629994.485740017,2121128.2093511745,-6943007.639882647,1.0
G09,2025-07-06 01:00:00,33237720.558701035,11584513.83747866,-20827525.735188786,1.0
G10,2025-07-06 01:00:00,46127743.505087405,-14684589.366742836,-40150222.94941742,1.0
G11,2025-07-06 01:00:00,12642169.804937482,12726659.953190504,-3079607.82469301,1.0
G12,2025-07-06 01:00:00,45457770.59944238,-1957925.4535478973,-39003734.76044967,1.0
G13,2025-07-06 01:00:00,48072641.372382246,-163167.5695836388,-43593082.1400092,1.0
G14,2025-07-06 01:00:00,51188006.37245904,6852827.800602629,-49582951.154971756,1.0
G15,2025-07-06 01:00:00,26835365.66267534,5710651.82511127,-13322377.38057616,1.0
G16,2025-07-06 01:00:00,45411045.73844972,11910861.608189346,-38459688.62322204,1.0
G17,2025-07-06 01:00:00,41403680.20445693,-23821711.636614557,-32009366.413866367,1.0
G18,2025-07-06 01:00:00,35972597.294541,9300256.42394884,-24234018.545570984,1.0
G19,2025-07-06 01:00:00,35701669.28355375,4568542.932116794,-24255303.33937288,1.0
G20,2025-07-06 01:00:00,35489298.13539101,-163159.80582960526,-23628304.81738043,1.0
G21,2025-07-06 01:00:00,35645439.494991325,45685434.15706621,-23917708.821156785,1.0
G22,2025-07-06 01:00:00,38827519.59921436,1305322.5782316653,-28130037.26389415,1.0
G23,2025-07-06 01:00:00,51384454.918476544,8973928.014037892,-49882686.595988415,1.0
G24,2025-07-06 01:00:00,51422852.335048534,13216127.630912134,-49404181.86583482,1.0
G25,2025-07-06 01:00:00,41614434.48429571,-2121089.579661756,-33004781.378760576,0.9955555555555555
G26,2025-07-06 01:00:00,12237966.71999261,4894868.6485079285,-2771761.3450125153,1.0
G27,2025-07-06 01:00:00,16458997.067532599,489514.5684668112,-5109461.2488867985,1.0
G28,2025-07-06 01:00:00,48175870.08393937,-4242218.290490021,-43696221.37372294,1.0
G29,2025-07-06 01:00:00,22954741.42578958,6852815.355898817,-10055786.615263637,1.0
G30,2025-07-06 01:00:00,31476563.14653106,14684590.55827493,-18454483.06222335,1.0
G31,2025-07-06 01:00:00,47776243.84164489,1957945.3378423725,-42972712.248449236,1.0
G32,2025-07-06 01:00:00,46504455.306891195,16805692.212364353,-40623500.0064165,1.0
G01,2025-07-06 01:15:00,39887246.81669235,12563491.865794156,-29954908.30818526,0.75
G02,2025-07-06 01:15:00,14569177.362998901,12889812.84457291,-4583406.150784235,0.75
G03,2025-07-06 01:15:00,36038815.396283105,,-24594372.65253329,0.75
G04,2025-07-06 01:15:00,36244608.739820376,6037008.700879292,-24665598.85656312,0.75
G05,2025-07-06 01:15:00,34264163.17680613,-1305296.41764319,-22231384.77278083,0.7455555555555555
G06,2025-07-06 01:15:00,36938262.75212271,-23005883.253297143,-25708322.63706798,0.7455555555555555
G07,2025-07-06 01:15:00,38950601.260421015,-6200210.516850455,-28080549.077661395,0.7455555555555555
G08,2025-07-06 01:15:00,21675591.099666264,2121127.387723137,-9235436.289236734,0.75
G09,2025-07-06 01:15:00,32410066.20980923,11584512.726027701,-19779252.282463092,0.75
G10,2025-07-06 01:15:00,47143285.6201571,-14684591.992605325,-41994739.99896555,0.75
G11,2025-07-06 01:15:00,8749510.95417658,12726660.150504982,-1506919.9635364718,0.75
G12,2025-07-06 01:15:00,44776173.52560406,-1957926.042824509,-37878377.28996365,0.75
G13,2025-07-06 01:15:00,49029780.414679356,-163171.0697066499,-45321793.163915485,0.75
G14,2025-07-06 01:15:00,47578565.56889138,6852826.276523014,-42865542.170777485,0.75
